2026-02-24 01:24:17,297 | INFO | Order=(1, 0, 0) progress 1725/4014 | fails=0 | elapsed=78.7s
2026-02-24 01:24:18,449 | INFO | Order=(1, 0, 0) progress 1750/4014 | fails=0 | elapsed=79.9s
2026-02-24 01:24:19,541 | INFO | Order=(1, 0, 0) progress 1775/4014 | fails=0 | elapsed=81.0s
2026-02-24 01:24:20,636 | INFO | Order=(1, 0, 0) progress 1800/4014 | fails=0 | elapsed=82.1s
2026-02-24 01:24:21,733 | INFO | Order=(1, 0, 0) progress 1825/4014 | fails=0 | elapsed=83.2s
2026-02-24 01:24:22,849 | INFO | Order=(1, 0, 0) progress 1850/4014 | fails=0 | elapsed=84.3s
2026-02-24 01:24:23,968 | INFO | Order=(1, 0, 0) progress 1875/4014 | fails=0 | elapsed=85.4s
2026-02-24 01:24:25,075 | INFO | Order=(1, 0, 0) progress 1900/4014 | fails=0 | elapsed=86.5s
2026-02-24 01:24:26,164 | INFO | Order=(1, 0, 0) progress 1925/4014 | fails=0 | elapsed=87.6s
2026-02-24 01:24:27,272 | INFO | Order=(1, 0, 0) progress 1950/4014 | fails=0 | elapsed=88.7s
2026-02-24 01:24:28,448 | INFO | Order=(1, 0, 0) progress 1975/4014 | fails=0 | elapsed=89.9s
2026-02-24 01:24:29,571 | INFO | Order=(1, 0, 0) progress 2000/4014 | fails=0 | elapsed=91.0s
2026-02-24 01:24:30,714 | INFO | Order=(1, 0, 0) progress 2025/4014 | fails=0 | elapsed=92.2s
2026-02-24 01:24:31,807 | INFO | Order=(1, 0, 0) progress 2050/4014 | fails=0 | elapsed=93.3s
2026-02-24 01:24:32,912 | INFO | Order=(1, 0, 0) progress 2075/4014 | fails=0 | elapsed=94.4s
2026-02-24 01:24:34,048 | INFO | Order=(1, 0, 0) progress 2100/4014 | fails=0 | elapsed=95.5s
2026-02-24 01:24:35,126 | INFO | Order=(1, 0, 0) progress 2125/4014 | fails=0 | elapsed=96.6s
2026-02-24 01:24:36,261 | INFO | Order=(1, 0, 0) progress 2150/4014 | fails=0 | elapsed=97.7s
2026-02-24 01:24:37,380 | INFO | Order=(1, 0, 0) progress 2175/4014 | fails=0 | elapsed=98.8s
2026-02-24 01:24:38,521 | INFO | Order=(1, 0, 0) progress 2200/4014 | fails=0 | elapsed=100.0s
2026-02-24 01:24:39,629 | INFO | Order=(1, 0, 0) progress 2225/4014 | fails=0 | elapsed=101.1s
2026-02-24 01:24:40,768 | INFO | Order=(1, 0, 0) progress 2250/4014 | fails=0 | elapsed=102.2s
2026-02-24 01:24:41,895 | INFO | Order=(1, 0, 0) progress 2275/4014 | fails=0 | elapsed=103.3s
2026-02-24 01:24:43,042 | INFO | Order=(1, 0, 0) progress 2300/4014 | fails=0 | elapsed=104.5s
2026-02-24 01:24:44,169 | INFO | Order=(1, 0, 0) progress 2325/4014 | fails=0 | elapsed=105.6s
2026-02-24 01:24:45,287 | INFO | Order=(1, 0, 0) progress 2350/4014 | fails=0 | elapsed=106.7s
2026-02-24 01:24:46,439 | INFO | Order=(1, 0, 0) progress 2375/4014 | fails=0 | elapsed=107.9s
2026-02-24 01:24:47,581 | INFO | Order=(1, 0, 0) progress 2400/4014 | fails=0 | elapsed=109.0s
2026-02-24 01:24:48,707 | INFO | Order=(1, 0, 0) progress 2425/4014 | fails=0 | elapsed=110.2s
2026-02-24 01:24:49,819 | INFO | Order=(1, 0, 0) progress 2450/4014 | fails=0 | elapsed=111.3s
2026-02-24 01:24:50,917 | INFO | Order=(1, 0, 0) progress 2475/4014 | fails=0 | elapsed=112.4s
2026-02-24 01:24:52,046 | INFO | Order=(1, 0, 0) progress 2500/4014 | fails=0 | elapsed=113.5s
2026-02-24 01:24:53,192 | INFO | Order=(1, 0, 0) progress 2525/4014 | fails=0 | elapsed=114.6s
2026-02-24 01:24:54,313 | INFO | Order=(1, 0, 0) progress 2550/4014 | fails=0 | elapsed=115.8s
2026-02-24 01:24:55,429 | INFO | Order=(1, 0, 0) progress 2575/4014 | fails=0 | elapsed=116.9s
2026-02-24 01:24:56,556 | INFO | Order=(1, 0, 0) progress 2600/4014 | fails=0 | elapsed=118.0s
2026-02-24 01:24:57,668 | INFO | Order=(1, 0, 0) progress 2625/4014 | fails=0 | elapsed=119.1s
2026-02-24 01:24:58,820 | INFO | Order=(1, 0, 0) progress 2650/4014 | fails=0 | elapsed=120.3s
2026-02-24 01:25:00,001 | INFO | Order=(1, 0, 0) progress 2675/4014 | fails=0 | elapsed=121.5s
2026-02-24 01:25:01,233 | INFO | Order=(1, 0, 0) progress 2700/4014 | fails=0 | elapsed=122.7s
2026-02-24 01:25:02,375 | INFO | Order=(1, 0, 0) progress 2725/4014 | fails=0 | elapsed=123.8s
2026-02-24 01:25:03,532 | INFO | Order=(1, 0, 0) progress 2750/4014 | fails=0 | elapsed=125.0s
2026-02-24 01:25:04,684 | INFO | Order=(1, 0, 0) progress 2775/4014 | fails=0 | elapsed=126.1s
2026-02-24 01:25:05,817 | INFO | Order=(1, 0, 0) progress 2800/4014 | fails=0 | elapsed=127.3s
2026-02-24 01:25:06,972 | INFO | Order=(1, 0, 0) progress 2825/4014 | fails=0 | elapsed=128.4s
2026-02-24 01:25:08,099 | INFO | Order=(1, 0, 0) progress 2850/4014 | fails=0 | elapsed=129.6s
2026-02-24 01:25:09,250 | INFO | Order=(1, 0, 0) progress 2875/4014 | fails=0 | elapsed=130.7s
2026-02-24 01:25:10,408 | INFO | Order=(1, 0, 0) progress 2900/4014 | fails=0 | elapsed=131.9s
2026-02-24 01:25:11,541 | INFO | Order=(1, 0, 0) progress 2925/4014 | fails=0 | elapsed=133.0s
2026-02-24 01:25:12,647 | INFO | Order=(1, 0, 0) progress 2950/4014 | fails=0 | elapsed=134.1s
2026-02-24 01:25:13,770 | INFO | Order=(1, 0, 0) progress 2975/4014 | fails=0 | elapsed=135.2s
2026-02-24 01:25:14,912 | INFO | Order=(1, 0, 0) progress 3000/4014 | fails=0 | elapsed=136.4s
2026-02-24 01:25:16,017 | INFO | Order=(1, 0, 0) progress 3025/4014 | fails=0 | elapsed=137.5s
2026-02-24 01:25:17,133 | INFO | Order=(1, 0, 0) progress 3050/4014 | fails=0 | elapsed=138.6s
2026-02-24 01:25:18,246 | INFO | Order=(1, 0, 0) progress 3075/4014 | fails=0 | elapsed=139.7s
2026-02-24 01:25:19,393 | INFO | Order=(1, 0, 0) progress 3100/4014 | fails=0 | elapsed=140.8s
